X Y Z
11.927415 20.895418 0.000000
11.913077 21.816347 0.000000
11.927434 22.899522 0.000000
11.933686 23.835710 0.000000
11.921609 24.892832 0.000000
11.915916 25.818057 0.000000
11.936083 26.828241 0.000000
11.973114 27.843730 0.000000
11.961809 29.858193 0.000000
11.941198 30.890909 0.000000
12.945224 14.860231 0.000000
12.880875 15.857625 0.000000
12.918484 17.890481 0.000000
12.921603 18.842219 0.000000
12.952649 20.848581 0.000000
12.962260 21.879539 0.000000
12.885632 22.826025 0.000000
12.908680 23.851883 0.000000
12.881210 24.898830 0.000000
12.968407 26.816980 0.000000
12.923177 27.831872 0.000000
12.890693 29.887536 0.000000
12.902879 31.860165 0.000000
12.970955 32.842629 0.000000
13.921676 13.852790 0.000000
13.885137 14.872209 0.000000
13.917151 15.877034 0.000000
13.887614 17.863515 0.000000
13.885270 18.816150 0.000000
13.953504 19.870194 0.000000
13.921332 20.848830 0.000000
13.928035 21.855329 0.000000
13.884544 25.840399 0.000000
13.975869 27.860905 0.000000
13.964648 28.878663 0.000000
13.924455 29.861358 0.000000
13.946552 30.854664 0.000000
13.907471 31.837007 0.000000
13.911368 32.816534 0.000000
13.888096 33.838460 0.000000
14.920741 13.815718 0.000000
14.949579 14.870633 0.000000
14.897336 15.818035 0.000000
14.924503 16.843084 0.000000
14.954046 17.876256 0.000000
14.958538 18.906323 0.000000
14.952299 19.899991 0.000000
14.885575 20.838316 0.000000
14.963340 21.857292 0.000000
14.910150 22.833903 0.000000
14.942752 24.827327 0.000000
14.916554 25.894364 0.000000
14.949744 26.896711 0.000000
14.888421 28.861277 0.000000
14.913320 29.858589 0.000000
14.903361 30.895870 0.000000
14.921240 31.841943 0.000000
14.926354 32.815636 0.000000
14.975197 33.898985 0.000000
14.959497 34.871271 0.000000
15.925042 13.826001 0.000000
15.950714 14.854639 0.000000
15.923550 15.836020 0.000000
15.936802 16.890815 0.000000
15.879731 17.855243 0.000000
15.951181 18.872949 0.000000
15.907588 19.813566 0.000000
15.906529 20.886185 0.000000
15.917821 21.820146 0.000000
15.955015 22.849042 0.000000
15.971000 23.865853 0.000000
15.966423 24.814547 0.000000
15.937283 25.885545 0.000000
15.913668 26.844116 0.000000
15.931620 27.900993 0.000000
15.956319 28.881417 0.000000
15.892118 29.901955 0.000000
15.928556 30.885687 0.000000
15.955073 31.902556 0.000000
15.955451 32.902274 0.000000
15.952744 34.876754 0.000000
15.895249 35.839738 0.000000
16.935822 13.878244 0.000000
16.946969 14.843784 0.000000
16.937448 15.893541 0.000000
16.970616 16.843435 0.000000
16.972933 17.819770 0.000000
16.977029 18.871097 0.000000
16.964953 19.874414 0.000000
16.912810 20.908806 0.000000
16.934026 21.834305 0.000000
16.966404 22.885698 0.000000
16.903334 23.877188 0.000000
16.917928 24.909191 0.000000
16.889816 25.873539 0.000000
16.906299 27.853584 0.000000
16.937515 28.856793 0.000000
16.960161 29.899660 0.000000
16.888206 30.897812 0.000000
16.922055 31.883061 0.000000
16.927555 32.842589 0.000000
16.931101 33.841122 0.000000
16.900952 34.851042 0.000000
17.944256 12.912468 0.000000
17.954610 13.860350 0.000000
17.950744 14.899791 0.000000
17.898353 16.882139 0.000000
17.925128 17.821893 0.000000
17.879150 18.850136 0.000000
17.976582 19.911079 0.000000
17.926615 20.906495 0.000000
17.969293 22.813475 0.000000
17.898254 23.840607 0.000000
17.955479 24.843221 0.000000
17.972701 25.882289 0.000000
17.971254 26.830133 0.000000
17.904947 27.906661 0.000000
17.924600 28.816449 0.000000
17.883936 29.841079 0.000000
17.954966 30.819107 0.000000
17.888606 31.840153 0.000000
17.967359 32.856240 0.000000
17.959982 33.850578 0.000000
17.956456 34.838089 0.000000
17.909598 35.908109 0.000000
18.904021 12.827886 0.000000
18.943245 13.883950 0.000000
18.886927 14.824135 0.000000
18.894547 15.896200 0.000000
18.915774 16.890282 0.000000
18.946873 17.836955 0.000000
18.940567 18.831605 0.000000
18.905196 19.849899 0.000000
18.891646 20.815310 0.000000
18.932341 21.911091 0.000000
18.975659 22.889132 0.000000
18.916366 23.824753 0.000000
18.914666 24.851737 0.000000
18.900803 25.845627 0.000000
18.972094 26.899814 0.000000
18.917900 27.839740 0.000000
18.937358 28.863225 0.000000
18.938296 29.845399 0.000000
18.953426 30.837224 0.000000
18.963596 32.888116 0.000000
18.887924 33.832295 0.000000
18.940069 34.898430 0.000000
19.898463 14.877613 0.000000
19.930288 15.815970 0.000000
19.950334 16.851591 0.000000
19.921450 17.903535 0.000000
19.950914 18.877815 0.000000
19.955504 19.856673 0.000000
19.924800 20.890606 0.000000
19.894227 22.899588 0.000000
19.879738 24.850588 0.000000
19.954936 25.860386 0.000000
19.960271 26.816054 0.000000
19.941456 27.909812 0.000000
19.965041 28.832550 0.000000
19.960653 30.830604 0.000000
19.912324 31.912441 0.000000
19.929528 32.821578 0.000000
19.960560 33.912532 0.000000
19.888202 34.891282 0.000000
20.886077 11.814842 0.000000
20.954106 13.825016 0.000000
20.904324 14.879337 0.000000
20.885411 15.895473 0.000000
20.930371 16.820790 0.000000
20.955608 17.842224 0.000000
20.966728 18.832884 0.000000
20.884483 20.839363 0.000000
20.917568 21.894717 0.000000
20.920251 22.899566 0.000000
20.975417 24.854848 0.000000
20.891837 25.871797 0.000000
20.945397 26.869009 0.000000
20.937999 27.902423 0.000000
20.972100 28.821149 0.000000
20.907016 29.876908 0.000000
20.962723 30.894521 0.000000
20.902597 33.879947 0.000000
21.968261 11.907525 0.000000
21.939719 12.880503 0.000000
21.953563 13.826025 0.000000
21.899511 14.912809 0.000000
21.903867 15.847639 0.000000
21.898341 16.837797 0.000000
21.941095 17.881875 0.000000
21.959134 19.875634 0.000000
21.905381 20.844935 0.000000
21.936815 21.894289 0.000000
21.907206 22.852922 0.000000
21.910628 23.876412 0.000000
21.912039 24.839020 0.000000
21.914187 25.832527 0.000000
21.894271 26.852296 0.000000
21.942038 27.846293 0.000000
21.967676 28.836707 0.000000
21.936841 29.833409 0.000000
21.936414 31.837673 0.000000
21.964038 32.843503 0.000000
21.897286 33.841391 0.000000
22.966748 11.855940 0.000000
22.919167 12.820245 0.000000
22.903656 13.840210 0.000000
22.923957 14.813491 0.000000
22.907167 16.901779 0.000000
22.926907 17.814740 0.000000
22.951470 18.833358 0.000000
22.942977 19.900649 0.000000
22.976327 20.828761 0.000000
22.905321 21.849658 0.000000
22.899173 22.877835 0.000000
22.902394 23.871830 0.000000
22.923304 24.908713 0.000000
22.969262 25.859120 0.000000
22.954439 26.843556 0.000000
22.898112 27.817211 0.000000
22.899390 28.905325 0.000000
22.880472 29.895287 0.000000
22.931067 30.877766 0.000000
22.879794 31.857740 0.000000
23.948630 11.903778 0.000000
23.951855 12.859672 0.000000
23.906289 13.816421 0.000000
23.925698 14.855841 0.000000
23.963927 15.886566 0.000000
23.940094 16.853070 0.000000
23.881721 17.843168 0.000000
23.921648 19.855294 0.000000
23.912861 20.873124 0.000000
23.880411 21.833643 0.000000
23.907846 22.863591 0.000000
23.881032 23.874327 0.000000
23.945272 24.873071 0.000000
23.929072 25.850034 0.000000
23.973001 26.821260 0.000000
23.899703 27.868786 0.000000
23.967783 28.842276 0.000000
23.894799 29.816499 0.000000
23.880740 30.908078 0.000000
23.902564 31.888915 0.000000
23.956601 32.866391 0.000000
24.883114 11.876251 0.000000
24.972434 12.830826 0.000000
24.976946 13.906099 0.000000
24.944420 14.869269 0.000000
24.901865 15.814010 0.000000
24.923354 16.840685 0.000000
24.926931 17.858808 0.000000
24.932840 18.884386 0.000000
24.956008 19.898205 0.000000
24.942780 21.888911 0.000000
24.962363 22.910133 0.000000
24.885561 23.857721 0.000000
24.950727 24.834813 0.000000
24.886393 25.844480 0.000000
24.896899 26.819752 0.000000
24.933233 27.845503 0.000000
24.910752 28.869890 0.000000
24.960255 29.897249 0.000000
24.971853 30.839479 0.000000
24.881202 31.896006 0.000000
24.881811 32.832372 0.000000
25.916613 11.837041 0.000000
25.932883 12.859193 0.000000
25.885959 13.905768 0.000000
25.930988 15.827623 0.000000
25.909870 16.912253 0.000000
25.902755 17.862100 0.000000
25.917960 18.906793 0.000000
25.975522 19.874019 0.000000
25.894426 20.845586 0.000000
25.949980 21.864663 0.000000
25.914004 22.847276 0.000000
25.906837 24.884998 0.000000
25.957792 25.840509 0.000000
25.917650 26.839377 0.000000
25.915278 27.855126 0.000000
25.919506 29.846389 0.000000
25.902494 30.875459 0.000000
25.963197 31.903666 0.000000
26.891451 11.824063 0.000000
26.891514 12.845748 0.000000
26.898139 14.868806 0.000000
26.888090 15.845422 0.000000
26.939009 16.888348 0.000000
26.900066 17.819362 0.000000
26.970503 18.843913 0.000000
26.928697 20.844376 0.000000
26.938163 21.888199 0.000000
26.923928 22.865006 0.000000
26.906762 24.910564 0.000000
26.942906 25.817567 0.000000
26.939566 26.902025 0.000000
26.976775 27.820488 0.000000
26.934834 28.882587 0.000000
26.963604 30.884770 0.000000
26.911560 31.912857 0.000000
27.884235 12.844522 0.000000
27.892031 13.890502 0.000000
27.891203 14.893062 0.000000
27.912996 15.829652 0.000000
27.935478 16.835473 0.000000
27.978555 17.885454 0.000000
27.888187 18.856283 0.000000
27.962299 20.911702 0.000000
27.946031 21.842058 0.000000
27.879287 22.858632 0.000000
27.934277 23.892511 0.000000
27.945728 24.830393 0.000000
27.951330 25.881262 0.000000
27.884791 26.903164 0.000000
27.898247 27.867510 0.000000
27.900067 28.861893 0.000000
27.950454 30.824444 0.000000
28.936365 12.833114 0.000000
28.941832 14.911476 0.000000
28.907139 16.845116 0.000000
28.937747 17.870758 0.000000
28.964872 18.881114 0.000000
28.917119 21.838845 0.000000
28.953082 22.854462 0.000000
28.947923 23.823724 0.000000
28.914852 24.828786 0.000000
28.919097 26.893221 0.000000
28.918318 27.820808 0.000000
28.960817 28.814084 0.000000
28.939486 30.878726 0.000000
29.907510 12.851484 0.000000
29.968678 13.882608 0.000000
29.905397 14.871903 0.000000
29.940654 15.905083 0.000000
29.910621 16.867623 0.000000
29.963768 17.854315 0.000000
29.965885 18.882559 0.000000
29.893552 19.873715 0.000000
29.939672 20.836604 0.000000
29.897088 21.884414 0.000000
29.942413 23.908536 0.000000
29.964901 24.888163 0.000000
29.903531 26.911743 0.000000
29.913381 28.856417 0.000000
30.909816 13.815501 0.000000
30.925988 14.875376 0.000000
30.890196 15.826812 0.000000
30.929921 17.856621 0.000000
30.948029 19.907302 0.000000
30.891190 22.839401 0.000000
30.947986 23.849511 0.000000
30.885884 24.887009 0.000000
30.958825 26.816803 0.000000
30.949821 27.829168 0.000000
30.953474 28.908316 0.000000
30.906712 29.857501 0.000000
31.948679 14.873796 0.000000
31.936092 15.816738 0.000000
31.893335 16.839913 0.000000
31.950156 17.898540 0.000000
31.885574 18.857295 0.000000
31.955193 19.851971 0.000000
31.971146 20.817727 0.000000
31.919742 21.900859 0.000000
31.953371 22.890300 0.000000
31.903961 23.846687 0.000000
31.932286 24.824269 0.000000
31.894195 25.910617 0.000000
31.966959 26.841308 0.000000
31.938156 27.902924 0.000000
32.934509 14.857742 0.000000
32.907807 15.813044 0.000000
32.954384 16.906084 0.000000
32.907202 17.863150 0.000000
32.928435 18.878121 0.000000
32.955325 19.813857 0.000000
32.968488 21.907050 0.000000
32.889992 22.847208 0.000000
32.908678 23.872526 0.000000
32.934574 24.853104 0.000000
32.885643 25.829779 0.000000
32.917728 26.887755 0.000000
32.922324 27.908769 0.000000
32.971702 28.911074 0.000000
33.945059 14.892956 0.000000
33.898137 15.888521 0.000000
